source,target
CYP2C9,ALOX12
CYP2C9,FMO5
CYP2C9,GSTM5
CYP2C9,CYP2E1
CYP2C9,MGST2
CYP2C9,ALOX5
CYP2C9,GSTA4
CYP2C9,GSTO1
CYP2C9,ALOX15B
CYP2C9,PTGS2
CYP2C9,FMO4
CYP2C9,PTGS1
CYP2C9,ALDH1A1
CYP2C9,EPHX1
CYP2C9,GSTA1
CYP2C9,FMO3
CYP2C9,VKORC1
CYP2C9,MGST3
CYP2C9,PPIG
CYP2C9,AOX1
CYP2C9,EPHX2
CYP2C9,CYP3A4
CYP2C9,GSTP1
CYP2C9,GSTM4
CYP2C9,GSTM3
CYP2C9,CYP2J2
CYP2C9,HPGDS
CYP2C9,ALDH1A3
CYP2C9,FMO1
CYP3A5,HSD17B2
CYP3A5,SULT2B1
CYP3A5,STS
CYP3A5,CYP7A1
CYP3A5,EPHX1
CYP3A5,SULT1E1
CYP3A5,ALDH1A1
CYP3A5,POR
CYP3A5,HSD17B12
CYP3A5,ABCB1
CYP3A5,AKR1C3
CYP3A5,HSD17B6
CYP3A5,ALDH1A2
CYP3A5,HSD17B7
CYP3A5,ALDH1A3
CYP3A5,CYP2C18
CYP3A5,HSD17B8
CYP3A5,PPIG
CYP3A5,AOX1
CYP3A5,CYP3A4
CYP3A5,CYP19A1
ALDH1A1,ADH1A
ALDH1A1,ALDH1A2
ALDH1A1,RDH5
ALDH1A1,CYP2C18
ALDH1A1,ADH5
ALDH1A1,CYP3A4
ALDH1A1,AOX1
ALDH1A1,ALDH1A3
ALDH1A1,ADH1C
ALDH1A1,DHRS9
ALDH1A1,ADH1B
ALDH1A1,RDH11
ALDH1A1,HSD17B6
ALDH1A1,DHRS3
CYP3A4,HSD17B2
CYP3A4,SULT2B1
CYP3A4,FMO2
CYP3A4,GSTA3
CYP3A4,STS
CYP3A4,SULT1E1
CYP3A4,GSTM2
CYP3A4,ALDH1A2
CYP3A4,FMO5
CYP3A4,HSD17B7
CYP3A4,GSTM5
CYP3A4,PPIG
CYP3A4,HSD17B12
CYP3A4,CBR1
CYP3A4,CBR3
CYP3A4,HPGDS
CYP3A4,CYP7A1
CYP3A4,CYB5B
CYP3A4,ALDH1A3
CYP3A4,GSTA1
CYP3A4,MAOA
CYP3A4,CYB5A
CYP3A4,FMO1
CYP3A4,CES1
CYP3A4,GSTM3
CYP3A4,HSD11B1
CYP3A4,FMO4
CYP3A4,FMO3
CYP3A4,MGST3
CYP3A4,GSTO1
CYP3A4,GSTM4
CYP3A4,GSTA4
CYP3A4,CYP2J2
CYP3A4,NDOR1
CYP3A4,HSD17B8
CYP3A4,AOX1
CYP3A4,MAOB
CYP3A4,AKR1C3
CYP3A4,AKR1C1
CYP3A4,CYP19A1
CYP3A4,GSTP1
CYP3A4,POR
CYP3A4,CYP2E1
CYP3A4,HSD17B6
CYP3A4,EPHX1
CYP3A4,MGST2
CYP3A4,CYP2D6
CYP3A4,CES2
AOX1,ADH1A
AOX1,EHHADH
AOX1,ALDH1A2
AOX1,RDH5
AOX1,MOCOS
AOX1,CYP2C18
AOX1,PDXK
AOX1,ACOX1
AOX1,ADH5
AOX1,ADH1B
AOX1,ALDH1A3
AOX1,MAOA
AOX1,MOCS1
AOX1,SUOX
AOX1,RDH11
AOX1,HSD17B6
AOX1,ALDH6A1
AOX1,DHRS3
AOX1,PNPO
AOX1,MAOB
AOX1,ADH1C
AOX1,DHRS9
AOX1,MOCS2
AOX1,ABAT
AOX1,NNMT
CYP2C18,ALDH1A2
CYP2C18,AP1AR
CYP2C18,EPHX1
CYP2C18,ALDH1A3
ALDH1A3,ALDH1A2
ALDH1A3,RDH5
ALDH1A3,DHRS3
ALDH1A3,HSD17B6
ALDH1A3,RDH11
ALDH1A3,DHRS9
ALDH1A2,HSD17B6
ALDH1A2,RDH11
ALDH1A2,DHRS3
ALDH1A2,RDH5
ALDH1A2,DHRS9
NDUFS2,NDUFB4
NDUFS2,UQCRC1
NDUFS2,ATP5F1D
NDUFS2,NDUFB7
NDUFS2,ACO2
NDUFS2,NDUFS7
NDUFS2,PMPCB
NDUFS2,NDUFA10
NDUFS2,COX5B
NDUFS2,NDUFB5
NDUFS2,NDUFAF1
NDUFS2,PALB2
NDUFS2,ATP5F1B
NDUFS2,NDUFS3
NDUFS2,SDHA
NDUFS2,MGLL
NDUFS2,NDUFA9
NDUFS2,UQCRC2
NDUFS2,ECSIT
NDUFS2,NDUFS6
NDUFS2,NDUFB11
NDUFS2,NUBPL
NDUFS2,NDUFS4
NDUFS2,NDUFB8
NDUFS2,UQCRFS1
NDUFS2,UQCRH
NDUFS2,NDUFS8
NDUFS2,CYC1
NDUFS2,COX5A
NDUFS2,TUFM
NDUFS2,NDUFAF3
NDUFS2,NDUFV2
NDUFS2,UQCR10
NDUFS2,NDUFA4
NDUFS2,ATP5F1C
NDUFS2,SDHC
NDUFS2,UQCRQ
NDUFS2,COX7B
NDUFS2,SUCLG1
NDUFS2,NDUFC1
NDUFS2,NDUFB3
NDUFS2,NDUFAB1
NDUFS2,NDUFS1
NDUFS2,NDUFA6
NDUFS2,SDHB
NDUFS2,PWWP3A
NDUFS2,NDUFA5
NDUFS2,NDUFB2
NDUFS2,UQCRB
NDUFS2,NDUFV1
NDUFS2,NDUFA3
NDUFS2,ATP5F1A
NDUFS2,NDUFA1
NDUFS2,COX4I1
NDUFS2,NDUFB6
NDUFS2,NDUFAF4
NDUFS2,SDHD
NDUFS2,NDUFB1
NDUFS2,COX7C
NDUFS2,COX6B1
NDUFS2,NDUFA8
NDUFS2,UQCR11
SEMA3F,PLXNA1
SEMA3F,NRP1
SEMA3F,NRP2
SEMA3F,PLXNA3
PLXNA1,RAC2
PLXNA1,SEMA6A
PLXNA1,TYROBP
PLXNA1,SEMA3C
PLXNA1,SEMA3A
PLXNA1,NRP1
PLXNA1,RAC3
PLXNA1,RND1
PLXNA1,RHOD
PLXNA1,SEMA6D
PLXNA1,FES
PLXNA1,FYN
PLXNA1,NRP2
PLXNA1,SEMA6C
NRP1,TGFB1
NRP1,HGF
NRP1,SEMA3G
NRP1,CHL1
NRP1,SEMA6A
NRP1,KDR
NRP1,FGF2
NRP1,SEMA3C
NRP1,SEMA3A
NRP1,SEMA3B
NRP1,VEGFB
NRP1,ROBO1
NRP1,FLT1
